# z rho/M
-84.1105 0
-83.6105 0
-83.1105 0
-82.6105 0
-82.1105 0
-81.6105 0
-81.1105 0
-80.6105 0
-80.1105 0
-79.6105 0
-79.1105 0
-78.6105 0
-78.1105 0
-77.6105 0
-77.1105 0
-76.6105 0
-76.1105 0
-75.6105 0
-75.1105 0
-74.6105 0
-74.1105 0
-73.6105 0
-73.1105 0
-72.6105 0
-72.1105 0
-71.6105 0
-71.1105 0
-70.6105 0
-70.1105 0
-69.6105 0
-69.1105 0
-68.6105 0
-68.1105 0
-67.6105 0
-67.1105 0
-66.6105 0
-66.1105 0
-65.6105 0
-65.1105 0
-64.6105 0
-64.1105 0
-63.6105 0
-63.1105 0
-62.6105 0
-62.1105 0
-61.6105 0
-61.1105 0
-60.6105 0
-60.1105 0
-59.6105 0
-59.1105 0
-58.6105 0
-58.1105 0
-57.6105 0
-57.1105 0
-56.6105 0
-56.1105 0
-55.6105 0
-55.1105 0
-54.6105 0
-54.1105 0
-53.6105 0
-53.1105 0
-52.6105 0
-52.1105 0
-51.6105 0
-51.1105 0
-50.6105 0
-50.1105 0
-49.6105 0
-49.1105 0
-48.6105 0
-48.1105 0
-47.6105 0
-47.1105 0
-46.6105 0
-46.1105 0
-45.6105 0
-45.1105 0
-44.6105 0
-44.1105 0
-43.6105 0
-43.1105 0
-42.6105 0
-42.1105 0
-41.6105 0
-41.1105 0
-40.6105 0
-40.1105 0
-39.6105 0
-39.1105 0
-38.6105 0
-38.1105 0
-37.6105 0
-37.1105 0
-36.6105 0.000259917
-36.1105 0
-35.6105 0
-35.1105 0
-34.6105 0.000259917
-34.1105 0
-33.6105 0
-33.1105 0.000519834
-32.6105 0.00129959
-32.1105 0.00103967
-31.6105 0.000519834
-31.1105 0.000259917
-30.6105 0.0015595
-30.1105 0.00233925
-29.6105 0.00389876
-29.1105 0.00259917
-28.6105 0.00259917
-28.1105 0.00337892
-27.6105 0.00441859
-27.1105 0.00415867
-26.6105 0.00545826
-26.1105 0.0075376
-25.6105 0.00519834
-25.1105 0.00675785
-24.6105 0.00545826
-24.1105 0.00623801
-23.6105 0.00363884
-23.1105 0.00545826
-22.6105 0.00285909
-22.1105 0.00259917
-21.6105 0.00233925
-21.1105 0.00337892
-20.6105 0.00181942
-20.1105 0.00181942
-19.6105 0.0015595
-19.1105 0.00103967
-18.6105 0.00103967
-18.1105 0.00207934
-17.6105 0.0015595
-17.1105 0.00103967
-16.6105 0.000779751
-16.1105 0.000259917
-15.6105 0.00103967
-15.1105 0.000259917
-14.6105 0.000779751
-14.1105 0.000519834
-13.6105 0.00129959
-13.1105 0.000519834
-12.6105 0.0015595
-12.1105 0.000519834
-11.6105 0.000519834
-11.1105 0.000519834
-10.6105 0.00129959
-10.1105 0.000519834
-9.61053 0.000779751
-9.11053 0.000779751
-8.61053 0.00103967
-8.11053 0.00103967
-7.61053 0.0015595
-7.11053 0.000779751
-6.61053 0.000779751
-6.11053 0.0015595
-5.61053 0.000779751
-5.11053 0.00103967
-4.61053 0.000519834
-4.11053 0.000259917
-3.61053 0.00103967
-3.11053 0.000259917
-2.61053 0.00103967
-2.11053 0.000259917
-1.61053 0.00103967
-1.11053 0
-0.610531 0.000779751
-0.110531 0.000779751
0.389469 0.000779751
0.889469 0.000519834
1.38947 0.000779751
1.88947 0.00103967
2.38947 0.00103967
2.88947 0.0015595
3.38947 0.000259917
3.88947 0.000259917
4.38947 0.000779751
4.88947 0.000519834
5.38947 0.00103967
5.88947 0.0015595
6.38947 0.00103967
6.88947 0.000519834
7.38947 0.000519834
7.88947 0.00207934
8.38947 0.000779751
8.88947 0.000519834
9.38947 0.000259917
9.88947 0.000779751
10.3895 0.000779751
10.8895 0.000519834
11.3895 0.00103967
