# z rho/M
-84.1105 0.141915
-83.6105 0.138016
-83.1105 0.141655
-82.6105 0.15699
-82.1105 0.149452
-81.6105 0.145814
-81.1105 0.141135
-80.6105 0.146073
-80.1105 0.146073
-79.6105 0.147633
-79.1105 0.152052
-78.6105 0.145814
-78.1105 0.143994
-77.6105 0.147373
-77.1105 0.140615
-76.6105 0.134637
-76.1105 0.145294
-75.6105 0.138016
-75.1105 0.149452
-74.6105 0.136197
-74.1105 0.141655
-73.6105 0.147373
-73.1105 0.140355
-72.6105 0.142435
-72.1105 0.141135
-71.6105 0.142435
-71.1105 0.136456
-70.6105 0.133078
-70.1105 0.135677
-69.6105 0.137496
-69.1105 0.137756
-68.6105 0.127619
-68.1105 0.150232
-67.6105 0.140095
-67.1105 0.139835
-66.6105 0.133597
-66.1105 0.134117
-65.6105 0.136976
-65.1105 0.12476
-64.6105 0.129439
-64.1105 0.138796
-63.6105 0.139576
-63.1105 0.136456
-62.6105 0.135417
-62.1105 0.136976
-61.6105 0.133857
-61.1105 0.132298
-60.6105 0.135157
-60.1105 0.143474
-59.6105 0.142435
-59.1105 0.135157
-58.6105 0.133857
-58.1105 0.136456
-57.6105 0.138536
-57.1105 0.152831
-56.6105 0.142954
-56.1105 0.152831
-55.6105 0.154391
-55.1105 0.161149
-54.6105 0.15803
-54.1105 0.148153
-53.6105 0.178303
-53.1105 0.164008
-52.6105 0.163488
-52.1105 0.182202
-51.6105 0.177263
-51.1105 0.177004
-50.6105 0.179343
-50.1105 0.1887
-49.6105 0.182982
-49.1105 0.194418
-48.6105 0.193378
-48.1105 0.197277
-47.6105 0.203515
-47.1105 0.18922
-46.6105 0.216771
-46.1105 0.223269
-45.6105 0.210533
-45.1105 0.221969
-44.6105 0.235485
-44.1105 0.238864
-43.6105 0.246921
-43.1105 0.274472
-42.6105 0.259657
-42.1105 0.271873
-41.6105 0.275512
-41.1105 0.292147
-40.6105 0.301764
-40.1105 0.321258
-39.6105 0.338932
-39.1105 0.346989
-38.6105 0.359465
-38.1105 0.355567
-37.6105 0.415607
-37.1105 0.413268
-36.6105 0.442899
-36.1105 0.458234
-35.6105 0.491243
-35.1105 0.50294
-34.6105 0.540888
-34.1105 0.535169
-33.6105 0.59573
-33.1105 0.582474
-32.6105 0.606907
-32.1105 0.588972
-31.6105 0.604827
-31.1105 0.59599
-30.6105 0.601188
-30.1105 0.562461
-29.6105 0.538808
-29.1105 0.524253
-28.6105 0.491763
-28.1105 0.446538
-27.6105 0.418467
-27.1105 0.380779
-26.6105 0.332174
-26.1105 0.308522
-25.6105 0.297605
-25.1105 0.261477
-24.6105 0.245102
-24.1105 0.216771
-23.6105 0.195718
-23.1105 0.175184
-22.6105 0.169206
-22.1105 0.175964
-21.6105 0.148933
-21.1105 0.151792
-20.6105 0.129439
-20.1105 0.133337
-19.6105 0.105786
-19.1105 0.114623
-18.6105 0.119822
-18.1105 0.110985
-17.6105 0.103707
-17.1105 0.0920107
-16.6105 0.102147
-16.1105 0.090971
-15.6105 0.0901912
-15.1105 0.0831735
-14.6105 0.0769355
-14.1105 0.0813541
-13.6105 0.0745962
-13.1105 0.0761557
-12.6105 0.0732966
-12.1105 0.071997
-11.6105 0.0756359
-11.1105 0.0675785
-10.6105 0.0732966
-10.1105 0.0675785
-9.61053 0.0675785
-9.11053 0.0628999
-8.61053 0.0641995
-8.11053 0.0654991
-7.61053 0.0673185
-7.11053 0.0592611
-6.61053 0.0548425
-6.11053 0.0548425
-5.61053 0.0527632
-5.11053 0.0631599
-4.61053 0.0527632
-4.11053 0.0548425
-3.61053 0.0618603
-3.11053 0.0725169
-2.61053 0.0597809
-2.11053 0.0590012
-1.61053 0.0571818
-1.11053 0.0577016
-0.610531 0.0582214
-0.110531 0.0571818
0.389469 0.0574417
0.889469 0.0582214
1.38947 0.0639396
1.88947 0.0652392
2.38947 0.0618603
2.88947 0.0600409
3.38947 0.056402
3.88947 0.0618603
4.38947 0.0603008
4.88947 0.0561421
5.38947 0.0621202
5.88947 0.065759
6.38947 0.0623801
6.88947 0.0639396
7.38947 0.0670586
7.88947 0.0600409
8.38947 0.075376
8.88947 0.0569219
9.38947 0.0745962
9.88947 0.06264
10.3895 0.0740764
10.8895 0.0792747
11.3895 0.0795346
11.8895 0.0735565
12.3895 0.0766756
12.8895 0.0829136
13.3895 0.0774553
13.8895 0.081614
14.3895 0.0907111
14.8895 0.084733
15.3895 0.0860326
15.8895 0.0930503
16.3895 0.0977288
16.8895 0.110725
17.3895 0.103967
17.8895 0.103967
18.3895 0.114104
18.8895 0.121641
19.3895 0.12606
19.8895 0.132038
20.3895 0.134117
20.8895 0.153351
21.3895 0.153611
21.8895 0.162968
22.3895 0.175184
22.8895 0.181422
23.3895 0.201176
23.8895 0.232626
24.3895 0.233146
24.8895 0.269274
25.3895 0.309041
25.8895 0.333214
26.3895 0.364924
26.8895 0.398193
27.3895 0.431722
27.8895 0.464212
28.3895 0.517755
28.8895 0.518795
29.3895 0.578576
29.8895 0.586373
30.3895 0.619642
30.8895 0.608726
31.3895 0.625621
31.8895 0.616783
32.3895 0.623801
32.8895 0.613924
33.3895 0.579615
33.8895 0.558302
34.3895 0.537249
34.8895 0.518535
35.3895 0.473569
35.8895 0.474089
36.3895 0.458494
36.8895 0.429383
37.3895 0.420026
37.8895 0.370902
38.3895 0.393515
38.8895 0.358686
39.3895 0.329575
39.8895 0.303583
40.3895 0.300464
40.8895 0.300204
41.3895 0.28253
41.8895 0.266155
42.3895 0.275252
42.8895 0.259917
43.3895 0.2516
43.8895 0.223269
44.3895 0.228987
44.8895 0.240943
45.3895 0.231846
45.8895 0.212612
46.3895 0.199616
46.8895 0.213132
47.3895 0.194938
47.8895 0.185061
48.3895 0.201176
48.8895 0.181942
49.3895 0.198317
49.8895 0.185061
50.3895 0.18688
50.8895 0.172845
51.3895 0.165047
51.8895 0.166087
52.3895 0.170246
52.8895 0.168166
53.3895 0.166867
53.8895 0.165827
54.3895 0.154651
54.8895 0.15829
55.3895 0.148673
55.8895 0.148153
56.3895 0.151532
56.8895 0.149712
57.3895 0.135937
57.8895 0.148933
58.3895 0.139835
58.8895 0.136976
59.3895 0.144774
59.8895 0.143214
60.3895 0.147633
60.8895 0.132818
61.3895 0.137756
61.8895 0.140095
62.3895 0.137236
62.8895 0.135937
63.3895 0.143214
63.8895 0.142435
64.3895 0.127099
64.8895 0.137496
65.3895 0.135677
65.8895 0.137756
66.3895 0.129959
66.8895 0.143474
67.3895 0.143214
67.8895 0.142435
68.3895 0.145034
68.8895 0.140615
69.3895 0.143734
69.8895 0.145034
70.3895 0.140095
70.8895 0.136197
71.3895 0.139576
71.8895 0.136197
72.3895 0.140355
72.8895 0.140875
73.3895 0.137236
73.8895 0.148933
74.3895 0.147633
74.8895 0.146593
75.3895 0.134637
75.8895 0.139316
76.3895 0.141915
76.8895 0.136197
77.3895 0.141395
77.8895 0.141135
78.3895 0.138796
78.8895 0.135937
79.3895 0.121121
79.8895 0.131518
80.3895 0.117742
80.8895 0.0935702
81.3895 0.0821338
81.8895 0.078495
82.3895 0.0621202
82.8895 0.056402
83.3895 0.0512037
83.8895 0.0545826
