# z rho/M
-84.1105 0
-83.6105 0
-83.1105 0
-82.6105 0
-82.1105 0
-81.6105 0
-81.1105 0
-80.6105 0
-80.1105 0
-79.6105 0
-79.1105 0
-78.6105 0
-78.1105 0
-77.6105 0
-77.1105 0
-76.6105 0
-76.1105 0
-75.6105 0
-75.1105 0
-74.6105 0
-74.1105 0
-73.6105 0
-73.1105 0
-72.6105 0
-72.1105 0
-71.6105 0
-71.1105 0
-70.6105 0
-70.1105 0
-69.6105 0
-69.1105 0
-68.6105 0
-68.1105 0
-67.6105 0
-67.1105 0
-66.6105 0
-66.1105 0
-65.6105 0
-65.1105 0
-64.6105 0
-64.1105 0
-63.6105 0
-63.1105 0
-62.6105 0
-62.1105 0
-61.6105 0
-61.1105 0
-60.6105 0
-60.1105 0
-59.6105 0
-59.1105 0
-58.6105 0
-58.1105 0
-57.6105 0
-57.1105 0
-56.6105 0
-56.1105 0
-55.6105 0
-55.1105 0
-54.6105 0
-54.1105 0
-53.6105 0
-53.1105 0
-52.6105 0
-52.1105 0
-51.6105 0
-51.1105 0
-50.6105 0
-50.1105 0
-49.6105 0
-49.1105 0
-48.6105 0
-48.1105 0
-47.6105 0
-47.1105 0
-46.6105 0
-46.1105 0
-45.6105 0
-45.1105 0
-44.6105 0
-44.1105 0
-43.6105 0
-43.1105 0
-42.6105 0.000259917
-42.1105 0
-41.6105 0.000259917
-41.1105 0.000779751
-40.6105 0.000779751
-40.1105 0.00181942
-39.6105 0.00233925
-39.1105 0.00675785
-38.6105 0.00649793
-38.1105 0.0114364
-37.6105 0.0145554
-37.1105 0.0171545
-36.6105 0.0293706
-36.1105 0.0410669
-35.6105 0.056402
-35.1105 0.0761557
-34.6105 0.103707
-34.1105 0.141395
-33.6105 0.202995
-33.1105 0.254979
-32.6105 0.322037
-32.1105 0.383118
-31.6105 0.449397
-31.1105 0.523213
-30.6105 0.613924
-30.1105 0.699957
-29.6105 0.755319
-29.1105 0.826796
-28.6105 0.907891
-28.1105 0.986126
-27.6105 0.996782
-27.1105 1.04383
-26.6105 1.02329
-26.1105 1.00588
-25.6105 0.97183
-25.1105 0.932843
-24.6105 0.829136
-24.1105 0.756879
-23.6105 0.678124
-23.1105 0.617303
-22.6105 0.539068
-22.1105 0.50112
-21.6105 0.448097
-21.1105 0.401052
-20.6105 0.358166
-20.1105 0.311121
-19.6105 0.298905
-19.1105 0.269274
-18.6105 0.246142
-18.1105 0.242763
-17.6105 0.217291
-17.1105 0.201176
-16.6105 0.191039
-16.1105 0.171025
-15.6105 0.159329
-15.1105 0.159589
-14.6105 0.146593
-14.1105 0.138536
-13.6105 0.128919
-13.1105 0.130218
-12.6105 0.120861
-12.1105 0.118782
-11.6105 0.115663
-11.1105 0.104227
-10.6105 0.109425
-10.1105 0.0979888
-9.61053 0.108645
-9.11053 0.0977288
-8.61053 0.0969491
-8.11053 0.100328
-7.61053 0.0938301
-7.11053 0.101628
-6.61053 0.0969491
-6.11053 0.101628
-5.61053 0.0979888
-5.11053 0.0956495
-4.61053 0.0875921
-4.11053 0.0901912
-3.61053 0.087852
-3.11053 0.0907111
-2.61053 0.0920107
-2.11053 0.0862925
-1.61053 0.0870722
-1.11053 0.0920107
-0.610531 0.0899313
-0.110531 0.0925305
0.389469 0.0964293
0.889469 0.090971
1.38947 0.0865524
1.88947 0.0977288
2.38947 0.0979888
2.88947 0.0894115
3.38947 0.0920107
3.88947 0.100328
4.38947 0.0953896
4.88947 0.0992883
5.38947 0.0995483
5.88947 0.106566
6.38947 0.100848
6.88947 0.100328
7.38947 0.117483
7.88947 0.109945
8.38947 0.0959094
8.88947 0.103967
9.38947 0.115403
9.88947 0.109945
10.3895 0.108905
10.8895 0.119042
11.3895 0.119302
