# z rho/M
-84.1105 0
-83.6105 0
-83.1105 0
-82.6105 0
-82.1105 0
-81.6105 0
-81.1105 0
-80.6105 0
-80.1105 0
-79.6105 0
-79.1105 0
-78.6105 0
-78.1105 0
-77.6105 0
-77.1105 0
-76.6105 0
-76.1105 0
-75.6105 0
-75.1105 0
-74.6105 0
-74.1105 0
-73.6105 0
-73.1105 0
-72.6105 0
-72.1105 0
-71.6105 0
-71.1105 0
-70.6105 0
-70.1105 0
-69.6105 0
-69.1105 0
-68.6105 0
-68.1105 0
-67.6105 0
-67.1105 0
-66.6105 0
-66.1105 0
-65.6105 0
-65.1105 0
-64.6105 0
-64.1105 0
-63.6105 0
-63.1105 0
-62.6105 0
-62.1105 0
-61.6105 0
-61.1105 0
-60.6105 0
-60.1105 0
-59.6105 0
-59.1105 0
-58.6105 0
-58.1105 0
-57.6105 0
-57.1105 0
-56.6105 0
-56.1105 0
-55.6105 0
-55.1105 0
-54.6105 0
-54.1105 0
-53.6105 0
-53.1105 0
-52.6105 0
-52.1105 0
-51.6105 0
-51.1105 0
-50.6105 0
-50.1105 0
-49.6105 0
-49.1105 0
-48.6105 0
-48.1105 0
-47.6105 0
-47.1105 0
-46.6105 0
-46.1105 0
-45.6105 0
-45.1105 0
-44.6105 0
-44.1105 0
-43.6105 0
-43.1105 0
-42.6105 0
-42.1105 0
-41.6105 0
-41.1105 0
-40.6105 0
-40.1105 0
-39.6105 0
-39.1105 0
-38.6105 0
-38.1105 0
-37.6105 0
-37.1105 0
-36.6105 0
-36.1105 0.000259917
-35.6105 0.000779751
-35.1105 0.000779751
-34.6105 0.00259917
-34.1105 0.00259917
-33.6105 0.00571818
-33.1105 0.0116963
-32.6105 0.00987685
-32.1105 0.0137756
-31.6105 0.0239124
-31.1105 0.0340491
-30.6105 0.0473049
-30.1105 0.0592611
-29.6105 0.0896714
-29.1105 0.112024
-28.6105 0.159849
-28.1105 0.224568
-27.6105 0.286949
-27.1105 0.357646
-26.6105 0.434581
-26.1105 0.520614
-25.6105 0.619383
-25.1105 0.671626
-24.6105 0.800025
-24.1105 0.883198
-23.6105 0.97209
-23.1105 1.08671
-22.6105 1.17924
-22.1105 1.20342
-21.6105 1.22187
-21.1105 1.25098
-20.6105 1.23877
-20.1105 1.20394
-19.6105 1.127
-19.1105 1.03525
-18.6105 0.925045
-18.1105 0.857207
-17.6105 0.765976
-17.1105 0.662269
-16.6105 0.59547
-16.1105 0.527372
-15.6105 0.467331
-15.1105 0.40755
-14.6105 0.365703
-14.1105 0.323077
-13.6105 0.296825
-13.1105 0.259917
-12.6105 0.242503
-12.1105 0.216771
-11.6105 0.212092
-11.1105 0.203255
-10.6105 0.194158
-10.1105 0.171805
-9.61053 0.167127
-9.11053 0.159589
-8.61053 0.15621
-8.11053 0.147113
-7.61053 0.144774
-7.11053 0.137496
-6.61053 0.143214
-6.11053 0.138536
-5.61053 0.119562
-5.11053 0.130218
-4.61053 0.121381
-4.11053 0.122421
-3.61053 0.127099
-3.11053 0.122421
-2.61053 0.116703
-2.11053 0.116963
-1.61053 0.118262
-1.11053 0.111504
-0.610531 0.114104
-0.110531 0.119562
0.389469 0.121121
0.889469 0.115663
1.38947 0.129439
1.88947 0.12398
2.38947 0.12658
2.88947 0.122681
3.38947 0.132038
3.88947 0.136456
4.38947 0.129439
4.88947 0.127879
5.38947 0.143994
5.88947 0.150752
6.38947 0.139056
6.88947 0.137236
7.38947 0.15595
7.88947 0.138536
8.38947 0.146593
8.88947 0.154131
9.38947 0.162968
9.88947 0.170506
10.3895 0.173885
10.8895 0.192859
11.3895 0.193898
11.8895 0.211313
12.3895 0.22093
12.8895 0.257058
13.3895 0.273953
13.8895 0.305663
14.3895 0.336593
