# z rho/M
-84.1105 0.122681
-83.6105 0.121381
-83.1105 0.123201
-82.6105 0.122941
-82.1105 0.12606
-81.6105 0.134637
-81.1105 0.135157
-80.6105 0.122941
-80.1105 0.130218
-79.6105 0.129439
-79.1105 0.123721
-78.6105 0.129179
-78.1105 0.136197
-77.6105 0.130218
-77.1105 0.127879
-76.6105 0.131258
-76.1105 0.123201
-75.6105 0.139835
-75.1105 0.139316
-74.6105 0.122421
-74.1105 0.135157
-73.6105 0.121901
-73.1105 0.12476
-72.6105 0.134377
-72.1105 0.129179
-71.6105 0.121121
-71.1105 0.12398
-70.6105 0.123461
-70.1105 0.134377
-69.6105 0.123461
-69.1105 0.137756
-68.6105 0.128399
-68.1105 0.135157
-67.6105 0.12658
-67.1105 0.129699
-66.6105 0.119042
-66.1105 0.135157
-65.6105 0.1245
-65.1105 0.12424
-64.6105 0.120342
-64.1105 0.134117
-63.6105 0.117223
-63.1105 0.122941
-62.6105 0.117742
-62.1105 0.120602
-61.6105 0.119822
-61.1105 0.123721
-60.6105 0.119822
-60.1105 0.112804
-59.6105 0.119822
-59.1105 0.0927904
-58.6105 0.113844
-58.1105 0.113064
-57.6105 0.106306
-57.1105 0.0985086
-56.6105 0.0946098
-56.1105 0.0987685
-55.6105 0.0987685
-55.1105 0.100068
-54.6105 0.097209
-54.1105 0.0914908
-53.6105 0.0862925
-53.1105 0.087852
-52.6105 0.0813541
-52.1105 0.0777152
-51.6105 0.0738165
-51.1105 0.0779751
-50.6105 0.0761557
-50.1105 0.0696578
-49.6105 0.0675785
-49.1105 0.0673185
-48.6105 0.0699177
-48.1105 0.0574417
-47.6105 0.0683582
-47.1105 0.056402
-46.6105 0.0605607
-46.1105 0.0525033
-45.6105 0.0447057
-45.1105 0.0504239
-44.6105 0.0465252
-44.1105 0.0431462
-43.6105 0.0454855
-43.1105 0.0379479
-42.6105 0.0431462
-42.1105 0.0348289
-41.6105 0.0363884
-41.1105 0.0262516
-40.6105 0.024952
-40.1105 0.0280711
-39.6105 0.0293706
-39.1105 0.024952
-38.6105 0.0174144
-38.1105 0.0205335
-37.6105 0.0194938
-37.1105 0.0122161
-36.6105 0.0166347
-36.1105 0.0116963
-35.6105 0.0103967
-35.1105 0.0122161
-34.6105 0.0106566
-34.1105 0.00805743
-33.6105 0.00961693
-33.1105 0.00623801
-32.6105 0.00779751
-32.1105 0.00337892
-31.6105 0.00337892
-31.1105 0.00493843
-30.6105 0.00389876
-30.1105 0.00389876
-29.6105 0.00363884
-29.1105 0.00207934
-28.6105 0.00285909
-28.1105 0.00259917
-27.6105 0.000779751
-27.1105 0.000779751
-26.6105 0.000779751
-26.1105 0.000779751
-25.6105 0.000779751
-25.1105 0.000519834
-24.6105 0.000259917
-24.1105 0.00129959
-23.6105 0.00129959
-23.1105 0.000779751
-22.6105 0.000519834
-22.1105 0.000779751
-21.6105 0.000259917
-21.1105 0.000259917
-20.6105 0.000519834
-20.1105 0.000519834
-19.6105 0.000519834
-19.1105 0.000779751
-18.6105 0.000519834
-18.1105 0
-17.6105 0.000259917
-17.1105 0.000259917
-16.6105 0.000259917
-16.1105 0
-15.6105 0.000259917
-15.1105 0
-14.6105 0.000259917
-14.1105 0.000519834
-13.6105 0
-13.1105 0
-12.6105 0
-12.1105 0.000259917
-11.6105 0
-11.1105 0.000259917
-10.6105 0
-10.1105 0
-9.61053 0.000259917
-9.11053 0
-8.61053 0
-8.11053 0
-7.61053 0
-7.11053 0
-6.61053 0
-6.11053 0
-5.61053 0
-5.11053 0
-4.61053 0.000259917
-4.11053 0.000259917
-3.61053 0
-3.11053 0
-2.61053 0
-2.11053 0
-1.61053 0.000259917
-1.11053 0.000259917
-0.610531 0
-0.110531 0
0.389469 0
0.889469 0
1.38947 0
1.88947 0
2.38947 0.000259917
2.88947 0.000259917
3.38947 0
3.88947 0
4.38947 0
4.88947 0
5.38947 0
5.88947 0
6.38947 0
6.88947 0
7.38947 0
7.88947 0
8.38947 0
8.88947 0
9.38947 0.000259917
9.88947 0.000259917
10.3895 0
10.8895 0
11.3895 0.000259917
11.8895 0
12.3895 0
12.8895 0
13.3895 0
13.8895 0.000259917
14.3895 0.000259917
14.8895 0
15.3895 0
15.8895 0.000259917
16.3895 0.000259917
16.8895 0.000259917
17.3895 0.000519834
17.8895 0.000259917
18.3895 0
18.8895 0.000259917
19.3895 0.000519834
19.8895 0.000259917
20.3895 0.00103967
20.8895 0.00103967
21.3895 0.000519834
21.8895 0.000259917
22.3895 0.000259917
22.8895 0.000259917
23.3895 0.000779751
23.8895 0.00129959
24.3895 0.000519834
24.8895 0.00129959
25.3895 0.00129959
25.8895 0.000259917
26.3895 0.00233925
26.8895 0.00129959
27.3895 0.0015595
27.8895 0.00233925
28.3895 0.00285909
28.8895 0.00311901
29.3895 0.00441859
29.8895 0.00311901
30.3895 0.00311901
30.8895 0.00233925
31.3895 0.00493843
31.8895 0.00675785
32.3895 0.00441859
32.8895 0.00701776
33.3895 0.0106566
33.8895 0.00519834
34.3895 0.00857727
34.8895 0.00935702
35.3895 0.0137756
35.8895 0.0140355
36.3895 0.0158549
36.8895 0.0171545
37.3895 0.0174144
37.8895 0.0210533
38.3895 0.018974
38.8895 0.0236525
39.3895 0.0272913
39.8895 0.0254719
40.3895 0.0306702
40.8895 0.0239124
41.3895 0.0366483
