# z rho/M
-84.1105 0
-83.6105 0
-83.1105 0
-82.6105 0
-82.1105 0
-81.6105 0
-81.1105 0
-80.6105 0
-80.1105 0
-79.6105 0
-79.1105 0
-78.6105 0
-78.1105 0
-77.6105 0
-77.1105 0
-76.6105 0
-76.1105 0
-75.6105 0
-75.1105 0
-74.6105 0
-74.1105 0
-73.6105 0
-73.1105 0
-72.6105 0
-72.1105 0
-71.6105 0
-71.1105 0
-70.6105 0
-70.1105 0
-69.6105 0
-69.1105 0
-68.6105 0
-68.1105 0
-67.6105 0
-67.1105 0
-66.6105 0
-66.1105 0
-65.6105 0
-65.1105 0
-64.6105 0
-64.1105 0
-63.6105 0
-63.1105 0
-62.6105 0
-62.1105 0
-61.6105 0
-61.1105 0
-60.6105 0
-60.1105 0
-59.6105 0
-59.1105 0
-58.6105 0
-58.1105 0
-57.6105 0
-57.1105 0
-56.6105 0
-56.1105 0
-55.6105 0
-55.1105 0
-54.6105 0
-54.1105 0
-53.6105 0
-53.1105 0
-52.6105 0
-52.1105 0
-51.6105 0
-51.1105 0
-50.6105 0
-50.1105 0
-49.6105 0
-49.1105 0
-48.6105 0
-48.1105 0
-47.6105 0
-47.1105 0
-46.6105 0
-46.1105 0
-45.6105 0
-45.1105 0
-44.6105 0
-44.1105 0
-43.6105 0
-43.1105 0
-42.6105 0
-42.1105 0
-41.6105 0
-41.1105 0
-40.6105 0
-40.1105 0
-39.6105 0
-39.1105 0
-38.6105 0
-38.1105 0
-37.6105 0
-37.1105 0
-36.6105 0
-36.1105 0
-35.6105 0
-35.1105 0
-34.6105 0
-34.1105 0
-33.6105 0
-33.1105 0
-32.6105 0
-32.1105 0
-31.6105 0
-31.1105 0
-30.6105 0
-30.1105 0
-29.6105 0
-29.1105 0
-28.6105 0
-28.1105 0
-27.6105 0.000259917
-27.1105 0.000259917
-26.6105 0.00129959
-26.1105 0.00129959
-25.6105 0.00233925
-25.1105 0.00623801
-24.6105 0.00623801
-24.1105 0.0119562
-23.6105 0.0166347
-23.1105 0.0202735
-22.6105 0.0275512
-22.1105 0.0379479
-21.6105 0.0686181
-21.1105 0.0644594
-20.6105 0.103447
-20.1105 0.134637
-19.6105 0.174404
-19.1105 0.25082
-18.6105 0.332434
-18.1105 0.409369
-17.6105 0.506059
-17.1105 0.609766
-16.6105 0.699697
-16.1105 0.818999
-15.6105 0.904772
-15.1105 1.03135
-14.6105 1.2029
-14.1105 1.29257
-13.6105 1.37756
-13.1105 1.4376
-12.6105 1.5122
-12.1105 1.52
-11.6105 1.54443
-11.1105 1.54677
-10.6105 1.55274
-10.1105 1.55638
-9.61053 1.53403
-9.11053 1.57796
-8.61053 1.53637
-8.11053 1.55664
-7.61053 1.60369
-7.11053 1.6354
-6.61053 1.72429
-6.11053 1.79837
-5.61053 1.8857
-5.11053 1.96575
-4.61053 1.9525
-4.11053 1.9551
-3.61053 1.91039
-3.11053 1.86205
-2.61053 1.83683
-2.11053 1.79707
-1.61053 1.66945
-1.11053 1.58549
-0.610531 1.56652
-0.110531 1.60629
0.389469 1.56704
0.889469 1.57328
1.38947 1.66165
1.88947 1.72611
2.38947 1.82202
2.88947 1.90909
3.38947 1.96237
3.88947 1.96471
4.38947 1.92807
4.88947 1.90597
5.38947 1.87088
5.88947 1.79161
6.38947 1.75288
6.88947 1.64216
7.38947 1.60577
7.88947 1.5595
8.38947 1.5569
8.88947 1.50934
9.38947 1.53845
9.88947 1.54261
10.3895 1.59823
10.8895 1.58653
11.3895 1.64606
11.8895 1.61824
12.3895 1.60395
12.8895 1.47399
13.3895 1.40251
13.8895 1.29023
14.3895 1.16963
14.8895 1.08905
15.3895 0.916728
15.8895 0.819779
16.3895 0.713213
16.8895 0.580395
